b'Sr. Data Analyst',b'Diverse Lynx',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/sr-data-analyst-at-diverse-lynx-3415256404?refId=rMdH8E6tolNWG89jnH675A%3D%3D&trackingId=%2Bg9XDmy3JidBRmZkZJB%2F7A%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Data Analyst',b'Experis',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/junior-data-analyst-at-experis-3431745423?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=LRmvT9iYQ7euogHUMXxdBg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'B3 Systems',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-b3-systems-3361794123?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=cOpvkMHLlqpxfYQ3rAlsXA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'Electronic Arts (EA)',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-electronic-arts-ea-3325611825?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=ngTlnd6jqJbsnyzhN7QPAQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'Connexall',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-connexall-3410490810?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=oAhIkDuPsn4XjOhRqXFDhw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Data Analyst',b'Jobcertify',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/junior-data-analyst-at-jobcertify-3438830060?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=VMaUiDkW6jBHnhtQsrdrfg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'theScore',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-thescore-3436852154?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=89vDyp46SPpLiIRTpc7ZeQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'SPECTRAFORCE',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-spectraforce-3438359737?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=JdPQS%2Bc5QRYRpKu4EsHuVA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'Ritual.co',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-ritual-co-3433808204?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=QxlN53fmwUGCgOe8vVDVrg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'Momentum Financial Services Group',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-momentum-financial-services-group-3433271810?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=4%2BqskB23HofArWy%2Fp6J6mw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'Apex Systems',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-apex-systems-3428729215?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=NMnwP%2FO6ltNJyVZdRvniHw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'Sun Life',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-sun-life-3430525224?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=4UoX6wXax4DTU5EtZIMVDA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'SPECTRAFORCE',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-spectraforce-3438349985?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=c9ZVdUvFurDZdGQGnxTXYQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'Money Mart Financial Services',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-money-mart-financial-services-3361528052?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=CUnHZahCme0NpVuQtG0nMA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'Toronto School of Management',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-toronto-school-of-management-3398681760?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=OlUo0iNMZPcIRktIp1TsLA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Data Analytics, Associate'",b'Project X Ltd.',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analytics-associate-at-project-x-ltd-3420271120?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=c2%2BrmNoUpM%2F3wn9nivYJYw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'Arsenault',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-arsenault-3394340431?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=quxBCKlvQS47ax1avQmyew%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'Makeship',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-makeship-3411134487?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=D3y3OSyDezSD%2BplpiSvPOQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Settlement Data Analyst',b'Nexus Energy Inc.',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/junior-settlement-data-analyst-at-nexus-energy-inc-3419057565?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=d02w7cbVFOZY6B8ZO9mIHg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Data Analyst, Technology Services Group'",b'Optimus SBR',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-technology-services-group-at-optimus-sbr-3410764133?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=M%2FY%2BmR1MTcqeopKUyZHMOA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'Epsilon Solutions Ltd.',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-epsilon-solutions-ltd-3415230824?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=5JMYyVFF3NiYCikf%2FB1JrA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'CGI',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-cgi-3402382189?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=HiqQcEgmpPPPv%2BH1zN2Krw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'Baycrest Health Sciences',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-baycrest-health-sciences-3386258061?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=G1C5qEcNeYN3l9BVbMx4Vg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst - Retail',b'Apex Systems',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-retail-at-apex-systems-3429920939?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=TFdvhomUwYQwnnz6t5233A%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'The Ian Martin Group',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-the-ian-martin-group-3434092708?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=%2BcXH84%2BQ81lfcaZl%2Bd%2BLqQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Analyst',b'GeoComply',"b'Toronto, Ontario, Canada'",b'https://ca.linkedin.com/jobs/view/data-analyst-at-geocomply-3400938140?refId=x3I3Iai4WAPxfqhwz7s3jw%3D%3D&trackingId=%2BBGixOi0XKRZaBHaoI5ImQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
